Preferred_label;ID;Semantic_Category;Synonyms
med6 (saccharomyces cerevisiae s288c);6138284;Genes & Molecular Sequences;yhr058c, [entrezgene]856455, s000001100
gic1 (saccharomyces cerevisiae s288c);6137906;Genes & Molecular Sequences;[entrezgene]856458, s000001103, yhr061c
fyv4 (saccharomyces cerevisiae s288c);6137730;Genes & Molecular Sequences;yhr059w, s000001101, [entrezgene]856456
rpp1 (saccharomyces cerevisiae s288c);6137614;Genes & Molecular Sequences;[entrezgene]856459, s000001104, yhr062c
yhr045w (saccharomyces cerevisiae s288c);6138036;Genes & Molecular Sequences;s000001087, [entrezgene]856441, yhr045w
dog2 (saccharomyces cerevisiae s288c);6137872;Genes & Molecular Sequences;yhr043c, s000001085, [entrezgene]856439
inm1 (saccharomyces cerevisiae s288c);6137645;Genes & Molecular Sequences;[entrezgene]856442, yhr046c, s000001088
ncp1 (saccharomyces cerevisiae s288c);6137643;Genes & Molecular Sequences;s000001084, cpr1 (saccharomyces cerevisiae s288c), yhr042w, [entrezgene]856438
aim45 (saccharomyces cerevisiae s288c);6137485;Genes & Molecular Sequences;[entrezgene]856112, ypr004c, s000006208
ypr003c (saccharomyces cerevisiae s288c);6137139;Genes & Molecular Sequences;[entrezgene]856111, ypr003c, s000006207
rec8 (saccharomyces cerevisiae s288c);6136982;Genes & Molecular Sequences;s000006211, [entrezgene]856115, spo69 (saccharomyces cerevisiae s288c), ypr007c
icl2 (saccharomyces cerevisiae s288c);6136769;Genes & Molecular Sequences;s000006210, ypr006c, [entrezgene]856114
rib2 (saccharomyces cerevisiae s288c);6137177;Genes & Molecular Sequences;pus8 (saccharomyces cerevisiae s288c), [entrezgene]854088, s000005427, yol066c
hst1 (saccharomyces cerevisiae s288c);6136325;Genes & Molecular Sequences;[entrezgene]854086, yol068c, s000005429
nuf2 (saccharomyces cerevisiae s288c);6136235;Genes & Molecular Sequences;s000005430, yol069w, [entrezgene]854085
inp54 (saccharomyces cerevisiae s288c);6135533;Genes & Molecular Sequences;[entrezgene]854089, s000005426, yol065c
pmt3 (saccharomyces cerevisiae s288c);6136984;Genes & Molecular Sequences;[entrezgene]854499, s000005848, yor321w
frt1 (saccharomyces cerevisiae s288c);6136403;Genes & Molecular Sequences;yor324c, s000005851, hph1 (saccharomyces cerevisiae s288c), [entrezgene]854503
myo2 (saccharomyces cerevisiae s288c);6135921;Genes & Molecular Sequences;s000005853, yor326w, [entrezgene]854504, cdc66 (saccharomyces cerevisiae s288c)
ldb19 (saccharomyces cerevisiae s288c);6135592;Genes & Molecular Sequences;art1 (saccharomyces cerevisiae s288c), yor322c, [entrezgene]854500, s000005849
ypl264c (saccharomyces cerevisiae s288c);6136812;Genes & Molecular Sequences;ypl264c, [entrezgene]855864, s000006185
ypl260w (saccharomyces cerevisiae s288c);6136574;Genes & Molecular Sequences;[entrezgene]855867, ypl260w, s000006181
kel3 (saccharomyces cerevisiae s288c);6136297;Genes & Molecular Sequences;ypl263c, s000006184, [entrezgene]855865
apm1 (saccharomyces cerevisiae s288c);6135488;Genes & Molecular Sequences;yap54 (saccharomyces cerevisiae s288c), ypl259c, s000006180, [entrezgene]855869
mih1 (saccharomyces cerevisiae s288c);6137518;Genes & Molecular Sequences;ymr036c, [entrezgene]855052, s000004639
sub1 (saccharomyces cerevisiae s288c);6137146;Genes & Molecular Sequences;tsp1 (saccharomyces cerevisiae s288c), [entrezgene]855055, ymr039c, s000004642
imp2 (saccharomyces cerevisiae s288c);6137057;Genes & Molecular Sequences;ymr035w, [entrezgene]855051, s000004638
ccs1 (saccharomyces cerevisiae s288c);6135823;Genes & Molecular Sequences;[entrezgene]855054, ymr038c, s000004641, lys7 (saccharomyces cerevisiae s288c)
snr50 (saccharomyces cerevisiae s288c);6137867;Genes & Molecular Sequences;s000006441, snr50, [entrezgene]9164975
smc5 (saccharomyces cerevisiae s288c);6137520;Genes & Molecular Sequences;[entrezgene]854123, yol034w, s000005394
opi10 (saccharomyces cerevisiae s288c);6135898;Genes & Molecular Sequences;[entrezgene]854125, s000005392, yol032w
sil1 (saccharomyces cerevisiae s288c);6135655;Genes & Molecular Sequences;sls1 (saccharomyces cerevisiae s288c), [entrezgene]854126, yol031c, s000005391
sna3 (saccharomyces cerevisiae s288c);6135270;Genes & Molecular Sequences;s000003687, [entrezgene]853290, yjl151c
fbp26 (saccharomyces cerevisiae s288c);6135103;Genes & Molecular Sequences;yjl155c, [entrezgene]853286, s000003691
das1 (saccharomyces cerevisiae s288c);6134524;Genes & Molecular Sequences;yjl149w, s000003685, [entrezgene]853292
vps35 (saccharomyces cerevisiae s288c);6133815;Genes & Molecular Sequences;vpt7 (saccharomyces cerevisiae s288c), grd9 (saccharomyces cerevisiae s288c), yjl154c, [entrezgene]853287, s000003690
kxd1 (saccharomyces cerevisiae s288c);6135048;Genes & Molecular Sequences;s000003047, [entrezgene]852801, ygl079w
dbp3 (saccharomyces cerevisiae s288c);6134908;Genes & Molecular Sequences;s000003046, ygl078c, [entrezgene]852802
ygl081w (saccharomyces cerevisiae s288c);6134886;Genes & Molecular Sequences;ygl081w, s000003049, [entrezgene]852799
ygl082w (saccharomyces cerevisiae s288c);6133292;Genes & Molecular Sequences;ygl082w, [entrezgene]852798, s000003050
kar2 (saccharomyces cerevisiae s288c);6134707;Genes & Molecular Sequences;grp78 (saccharomyces cerevisiae s288c), s000003571, yjl034w, [entrezgene]853418
tad2 (saccharomyces cerevisiae s288c);6134697;Genes & Molecular Sequences;yjl035c, s000003572, [entrezgene]853417
irc18 (saccharomyces cerevisiae s288c);6134240;Genes & Molecular Sequences;yjl037w, s000003574, osw6 (saccharomyces cerevisiae s288c), [entrezgene]853414
tv(aac)j (saccharomyces cerevisiae s288c);6133836;Genes & Molecular Sequences;tv(aac)j, [entrezgene]853415, s000006759
smy2 (saccharomyces cerevisiae s288c);6135102;Genes & Molecular Sequences;[entrezgene]852470, s000000376, ybr172c
swd3 (saccharomyces cerevisiae s288c);6134982;Genes & Molecular Sequences;cps30 (saccharomyces cerevisiae s288c), [entrezgene]852472, saf35 (saccharomyces cerevisiae s288c), s000000379, ybr175w
ecm31 (saccharomyces cerevisiae s288c);6134333;Genes & Molecular Sequences;s000000380, [entrezgene]852474, ybr176w
sec66 (saccharomyces cerevisiae s288c);6134106;Genes & Molecular Sequences;s000000375, [entrezgene]852469, hss1 (saccharomyces cerevisiae s288c), sec71 (saccharomyces cerevisiae s288c), ybr171w
osh2 (saccharomyces cerevisiae s288c);6135258;Genes & Molecular Sequences;ydl019c, s000002177, [entrezgene]851543
gpd1 (saccharomyces cerevisiae s288c);6134349;Genes & Molecular Sequences;[entrezgene]851539, osr5 (saccharomyces cerevisiae s288c), hor1 (saccharomyces cerevisiae s288c), ydl022w, osg1 (saccharomyces cerevisiae s288c), s000002180, dar1 (saccharomyces cerevisiae s288c)
gpm2 (saccharomyces cerevisiae s288c);6133924;Genes & Molecular Sequences;s000002179, ydl021w, [entrezgene]851541
erp3 (saccharomyces cerevisiae s288c);6133708;Genes & Molecular Sequences;s000002176, ydl018c, [entrezgene]851544
ylr257w (saccharomyces cerevisiae s288c);6129545;Genes & Molecular Sequences;s000004247, ylr257w, [entrezgene]850961
lcb5 (saccharomyces cerevisiae s288c);6128657;Genes & Molecular Sequences;ylr260w, [entrezgene]850964, s000004250
vps63 (saccharomyces cerevisiae s288c);6128638;Genes & Molecular Sequences;s000004251, ylr261c, [entrezgene]850965
ypt6 (saccharomyces cerevisiae s288c);6128582;Genes & Molecular Sequences;s000004252, ylr262c, [entrezgene]850966
gsy2 (saccharomyces cerevisiae s288c);6128563;Genes & Molecular Sequences;s000004248, ylr258w, [entrezgene]850962
pol4 (saccharomyces cerevisiae s288c);6129824;Genes & Molecular Sequences;s000000607, ycr014c, [entrezgene]850372
rvs161 (saccharomyces cerevisiae s288c);6129500;Genes & Molecular Sequences;end6 (saccharomyces cerevisiae s288c), [entrezgene]850367, spe161 (saccharomyces cerevisiae s288c), s000000602, ycr009c, fus7 (saccharomyces cerevisiae s288c)
ady2 (saccharomyces cerevisiae s288c);6129430;Genes & Molecular Sequences;ycr010c, [entrezgene]850368, ato1 (saccharomyces cerevisiae s288c), s000000603
pgk1 (saccharomyces cerevisiae s288c);6129359;Genes & Molecular Sequences;ycr012w, s000000605, [entrezgene]850370
ifh1 (saccharomyces cerevisiae s288c);6129017;Genes & Molecular Sequences;ylr223c, s000004213, [entrezgene]850920
utp13 (saccharomyces cerevisiae s288c);6128870;Genes & Molecular Sequences;s000004212, [entrezgene]850919, ylr222c
ylr225c (saccharomyces cerevisiae s288c);6128502;Genes & Molecular Sequences;s000004215, ylr225c, [entrezgene]850922
bur2 (saccharomyces cerevisiae s288c);6128165;Genes & Molecular Sequences;[entrezgene]850923, cst4 (saccharomyces cerevisiae s288c), s000004216, ylr226w
