"","x"
"2507","maize stripe virus incidence"
"2508","maize streak virus incidence"
"2509","maize streak virus severity"
"2510","normalized difference vegetation index"
"2511","plant aspect"
"2512","philippine downy mildew incidence"
"2513","plant ht to insertion of first tassel branch"
"2514","plants harvested"
"2515","photochemical radiation index"
"2516","sugarcane downy mildew incidence"
"2517","plant stand"
"2518","plant uniformity"
"2519","plant vigor"
"2520","pythium stalk rot incidence"
"2521","root lodging incidence"
"2522","sugarcane mosaic virus incidence"
"2523","seedling disease incidence"
"2524","silking time"
"2525","stem lodging incidence"
"2526","stalk rot incidence"
"2527","stem borer damage"
"2528","stenocarpella stalk rot incidence"
"2529","stewarts wilt incidence"
"2530","striga damage"
"2531","water index"
"2532","root capacitance"
"2533","sheath pubescence"
"2534","shelled cob wt"
"2535","silk anthocyanin coloration"
"2536","silk growth"
"2537","silk growth rate"
"2538","silk lh"
"2539","stem color"
"2540","striga plant number"
"2541","tassel blasting severity"
"2542","tassel anthocyanin coloration"
"2543","tassel density"
"2544","tassel exertion"
"2545","tassel glumes base anthocyanin coloration"
"2546","tassel glumes anthocyanin coloration"
"2547","tassel opening"
"2548","tassel size"
"2549","tassel branching type"
"2550","tassel branch number"
"2551","tassel branch wt"
"2552","uppermost ear shape"
"2553","grain ash content"
"2554","grain iron content"
"2555","grain lysine content"
"2556","grain oil content"
"2557","grain protein content"
"2558","grain starch content"
"2559","grain tryptophan content"
"2560","grain provitamina content"
"2561","grain zinc content"
"2562","young leaf chlorophyll content"
"2563","grain abscisic acid content"
"2564","grain glucose content"
"2565","root proline content"
"2566","grain sucrose content"
"2567","grain viability"
"2568","plant ht"
"2569","plant ht to ligule of the flag leaf"
"2570","grain test wt"
"2571","seedling vigor"
"2572","maize dwarf mosaic virus severity"
"2573","cob glumes anthocyanin coloration"
"2574","cob glumes color"
"2575","ear width"
"2576","cob sucrose content"
"2577","leaf sucrose content"
"2578","grain proline content"
"2579","grain sugar content"
"2580","leaf abscisic acid content"
"2581","leaf proline content"
"2582","root abscisic acid content"
"2583","root glucose content"
"2584","root sucrose content"
"2585","color"
"2586","anthocyanin coloration"
"2587","bad husk cover incidence"
"2588","aspect"
"2589","diameter"
"2590","shape"
"2591","growth"
"2592","growth rate"
"2593","ht to insertion of uppermost ear"
"2594","harvested number"
"2595","lh"
"2596","number"
"2597","position"
"2598","wt"
"2599","husk cover"
"2600","shelling ratio"
"2601","hardness"
"2602","lysine content"
"2603","protein content"
"2604","tryptophan content"
"2605","moisture content"
"2606","texture"
"2607","thickness"
"2608","type"
"2609","upper surface shape"
"2610","width"
"2611","yield"
"2612","maize weevil number"
"2613","turcicum leaf blight  severity"
"2614","ash content"
"2615","erectness"
"2616","rolling severity"
"2617","busseola damage incidence"
"2618","corn spiroplasma stunt severity"
"2619","wt loss by maize weevil"
"2620","ht to insertion of first tassel branch"
"2621","havested number"
"2622","stand"
"2623","uniformity"
"2624","vigor"
"2625","capacitance"
"2626","pubescence"
"2627","wt or yield"
"2628","plant number"
"2629","blasting severity"
"2630","density"
"2631","exertion"
"2632","opening"
"2633","size"
"2634","branching type"
"2635","iron content"
"2636","oil content"
"2637","starch content"
"2638","provitamina content"
"2639","zinc content"
"2640","abscisic acid content"
"2641","glucose content"
"2642","proline content"
"2643","sucrose content"
"2644","viability"
"2645","ht"
"2646","ht to ligule of the flag leaf"
"2647","test wt"
"2648","sugar content"
"2649","identifying"
"2650","maize"
"2651","plant"
"2652","that"
"2653","displays"
"2654","increased"
"2655","culturability"
"2656","or"
"2657","transformability"
"2658","involves"
"2659","detecting"
"2660","nine"
"2661","in"
"2662","of"
"2663","which"
"2664","one"
"2665","is"
"2666","associated"
"2667","with"
"2668","cell"
"2669","material"
"2670","seed"
"2671","comprises"
"2672","arginine"
"2673","insensitive"
"2674","n-acetyl"
"2675","glutamate"
"2676","kinase"
"2677","gene"
"2678","exogenous"
"2679","heterologous"
"2680","useful"
"2681","as"
"2682","for"
"2683","transforming"
"2684","selected"
"2685","from"
"2686","corn"
"2687","displaying"
"2688","green"
"2689","snap"
"2690","tolerance"
"2691","by"
"2692","located"
"2693","within"
"2694","chromosomal"
"2695","interval"
"2696","selecting"
"2697","having"
"2698","altered"
"2699","characteristic"
"2700","preferably"
"2701","at"
"2702","least"
"2703","nucleic"
"2704","acid"
"2705","and"
"2706","comprising"
"2707","increasing"
"2708","the"
"2709","a"
"2710","water"
"2711","deficit"
"2712","overexpressing"
"2713","r2r3-myb"
"2714","subfamily"
"2715","4"
"2716","transcription"
"2717","factor"
"2718","where"
"2719","vegetable"
"2720","ornamental"
"2721","plants"
"2722","fruit"
"2723","trees"
"2724","wheat"
"2725","used"
"2726","creating"
"2727","doubled"
"2728","first"
"2729","set"
"2730","distinct"
"2731","form"
"2732","seeds"
"2733","such"
"2734","population"
"2735","frequency"
"2736","embryos"
"2737","obtaining"
"2738","reduced"
"2739","tassel"
"2740","skeletonization"
"2741","severity"
"2742","polymorphic"
"2743","segment"
"2744","flanked"
"2745","composition"
"2746","modulating"
"2747","sexuality"
"2748","suppressing"
"2749","complete"
"2750","feminization"
"2751","restoring"
"2752","male"
"2753","jasmonic"
"2754","derivative"
"2755","and/or"
"2756","their"
"2757","salt"
"2758","northern"
"2759","leaf"
"2760","blight"
"2761","resistance"
"2762","analyzing"
"2763","presence"
"2764","quantitative"
"2765","trait"
"2766","amplified"
"2767","products"
"2768","providing"
"2769","primer"
"2770","pairs"
"2771","configured"
"2772","to"
"2773","amplify"
"2774","unique"
"2775","pseudo"
"2776","genome"
"2777","subjecting"
"2778","test"
"2779","genomic"
"2780","sample"
"2781","pcr"
"2782","using"
"2783","method"
"2784","pressing"
"2785","seedling"
"2786","inducing"
"2787","cutting"
"2788","into"
"2789","two"
"2790","sides"
"2791","digging"
"2792","surrounding"
"2793","soil"
"2794","followed"
"2795","transplanting"
"2796","construction"
"2797","expression"
"2798","cassette"
"2799","expressing"
"2800","recombinant"
"2801","genes"
"2802","reproductive"
"2803","tissues"
"2804","constructing"
"2805","regulatory"
"2806","sequences"
"2807","selective"
"2808","target"
"2809","operably"
"2810","linking"
"2811","bacterial"
"2812","stalk"
"2813","rot"
"2814","caused"
"2815","pectobacterium"
"2816","chrysanthemi"
"2817","pv"
"2818","zeae"
"2819","enhanced"
"2820","mechanical"
"2821","strh"
"2822","characteristics"
"2823","linked"
"2824","determining"
"2825","zygosity"
"2826","presence/absence"
"2827","contacting"
"2828","isolated"
"2829","obtained"
"2830","tissue"
"2831","molecule"
"2832","capable"
"2833","hybridizing"
"2834","specific"
"2835","nucleotide"
"2836","sequence"
"2837","under"
"2838","high"
"2839","stringency"
"2840","conditions"
"2841","producing"
"2842","pollinating"
"2843","essentially"
"2844","self-incompatible"
"2845","diploid"
"2846","female"
"2847","parent"
"2848","pollen"
"2849","tetraploid"
"2850","produce"
"2851","f1"
"2852","triploid"
"2853","on"
"2854","induction"
"2855","induced"
"2856","commercial"
"2857","qiyou"
"2858","201"
"2859","harvesting"
"2860","hybridized"
"2861","grains"
"2862","obtain"
"2863","screening"
"2864","potential"
"2865","its"
"2866","ancestor"
"2867","construct"
"2868","growing"
"2869","counting"
"2870","silks"
"2871","present"
"2872","comparing"
"2873","transformed"
"2874","control"
"2875","lines"
"2876","soy"
"2877","hormesis"
"2878","response"
"2879","applying"
"2880","herbicide"
"2881","stress"
"2882","observing"
"2883","controlling"
"2884","microbial"
"2885","variability"
"2886","soil-free"
"2887","system"
"2888","microorganism"
"2889","unding"
"2890","program"
"2891","medium"
"2892","grow"
"2893","has"
"2894","phenotype"
"2895","oil"
"2896","oleic"
"2897","content"
"2898","polymorphism"
"2899","new"
"2900","regulating"
"2901","fertility"
"2902","mutant"
"2903","sterile"
"2904","line"
"2905","promoter"
"2906","active"
"2907","basal"
"2908","transfer"
"2909","layer"
"2910","operatively"
"2911","coding"
"2912","an"
"2913","incw2"
"2914","protein"
"2915","normal"
"2916","stressed"
"2917","progeny"
"2918","s-type"
"2919","cms"
"2920","possessing"
"2921","functional"
"2922","restorer"
"2923","sterility"
"2924","decreased"
"2925","mal"
"2926","de"
"2927","rio"
"2928","cuarto"
"2929","virus"
"2930","mrcv"
"2931","acids"
"2932","newly"
"2933","conferred"
"2934","gray"
"2935","spot"
"2936","cercospora"
"2937","alleles"
"2938","developing"
"2939","further"
"2940","desired"
"2941","traits"
"2942","additional"
"2943","leaves"
"2944","above"
"2945","ear"
"2946","controlled"
"2947","genetic"
"2948","determinant"
"2949","shows"
"2950","non"
"2951","inheritance"
"2952","fusarium"
"2953","mold"
"2954","second"
"2955","cytosine"
"2956","phm12209.11"
"2957","anthracnose"
"2958","polynucleotide"
"2959","respect"
"2960","deletion"
"2961","pair"
"2962","assisting"
"2963","identify"
"2964","rough"
"2965","disease"
"2966","candidates"
"2967","disease-resistant"
"2968","gibberella"
"2969","resistant"
"2970","improving"
"2971","against"
"2972","exhibiting"
"2973","kernel"
"2974","evaluating"
"2975","production"
"2976","evaluation"
"2977","programs"
"2978","source"
"2979","estimate"
"2980","physical"
"2981","property"
"2982","mutation"
"2983","absence"
"2984","isolating"
"2985","molecules"
"2986","proteins"
"2987","demonstrating"
"2988","mrna"
"2989","transcript"
"2990","head"
"2991","smut"
"2992","specified"
"2993","floury2"
"2994","nucleotides"
"2995","positions"
"2996","correspond"
"2997","identification"
"2998","field"
"2999","non-uniform"
"3000","rowing"
"3001","uniform"
"3002","small"
"3003","flat"
"3004","reducing"
"3005","aflatoxin"
"3006","levels"
"3007","aflatoxin-contaminated"
"3008","allowing"
"3009","contaminated"
"3010","float"
"3011","liquid"
"3012","uncontaminated"
"3013","sink"
"3014","bed"
"3015","removing"
"3016","floating"
"3017","steep"
"3018","tank"
"3019","exserohilum"
"3020","accessible"
"3021","analysis"
"3022","rapid"
"3023","input/output"
"3024","devices"
"3025","select"
"3026","stem"
"3027","cells"
"3028","accept"
"3029","information"
"3030","related"
"3031","genotype"
"3032","generate"
"3033","value"
"3034","flowering"
"3035","time"
"3036","grass"
"3037","commodity"
"3038","product"
"3039","base"
"3040","desirable"
"3041","edible"
"3042","adapting"
"3043","crop-growing"
"3044","environment"
"3045","characterized"
"3046","continental"
"3047","dry"
"3048","climatic"
"3049","region"
"3050","conferring"
"3051","frost"
"3052","tolerant"
"3053","asr"
"3054","between"
"3055","markers"
"3056","correlated"
"3057","profiles"
"3058","profile"
"3059","more"
"3060","puccinia"
"3061","graminis"
"3062","f."
"3063","sp."
"3064","tritici"
"3065","making"
"3066","infection"
"3067","tropical"
"3068","rust"
"3069","containing"
"3070","introgressed"
"3071","based"
"3072","results"
"3073","brassicaceae"
"3074","self-compatibility"
"3075","self-incompatibility"
"3076","inactivating"
"3077","sp11"
"3078","maintaining"
"3079","inverted"
"3080","repeat"
"3081","productivity"
"3082","molecular"
"3083","events"
"3084","referencing"
"3085","database"
"3086","dgat1-2"
"3087","polypeptide"
"3088","acid/linoleic"
"3089","ratio"
"3090","associating"
"3091","assaying"
"3092","phenotypic"
"3093","offspring"
"3094","animal"
"3095","feeds"
"3096","ccoaomt2"
"3097","called"
"3098","g2092"
"3099","herbivory"
"3100","insect"
"3101","pest"
"3102","introducing"
"3103","regenerable"
"3104","regenerating"
"3105","encoding"
"3106","rootworm"
"3107","susceptible"
"3108","crw2"
"3109","main"
"3110","crop"
"3111","use"
"3112","monitoring"
"3113","planting"
"3114","trap"
"3115","susceptibility"
"3116","pests"
"3117","proximity"
"3118","treating"
"3119","gibberellin"
"3120","quantifying"
"3121","assay"
"3122","determine"
"3123","fertility-restorer-4"
"3124","performing"
"3125","probe"
"3126","both"
"3127","probes"
"3128","apparatus"
"3129","cob"
"3130","image"
"3131","processor"
"3132","receives"
"3133","imaging"
"3134","identifies"
"3135","determines"
"3136","wall"
"3137","digestibility"
"3138","rcg1"
"3139","confers"
"3140","enhances"
"3141","colletotrichum"
"3142","altering"
"3143","level"
"3144","enhancing"
"3145","per"
"3146","unit"
"3147","area"
"3148","facility"
"3149","cultivation"
"3150","nodes"
"3151","are"
"3152","spaced"
"3153","internode"
"3154","spacing"
"3155","range"
"3156","detection"
"3157","contaminant"
"3158","mycotoxin"
"3159","pre"
"3160","post-harvest"
"3161","samples"
"3162","contamination"
"3163","peak"
"3164","fluorescence"
"3165","3072"
"3166","single"
"3167","snps"
"3168","rnt"
"3169","kit"
"3170","genuineness"
"3171","testing"
"3172","varieties"
"3173","knockout"
"3174","disruption"
"3175","endogenous"
"3176","acc"
"3177","synthase"
"3178","neering"
"3179","singlne-controlled"
"3180","stay"
"3181","glutamine"
"3182","synthetase"
"3183","isoenzyme"
"3184","grain"
"3185","moisture"
"3186","chromosome"
"3187","9"
"3188","silk"
"3189","inducer"
"3190","embryo"
"3191","doubling"
"3192","agent"
"3193","generating"
"3194","digital"
"3195","imagery"
"3196","photometric"
"3197","processing"
"3198","immature"
"3199","processed"
"3200","genetically"
"3201","identical"
"3202","they"
"3203","arise"
"3204","placing"
"3205","limited"
"3206","paternal"
"3207","have"
"3208","tetrads"
"3209","dyads"
"3210","stigma"
"3211","flower"
"3212","efficiently"
"3213","organisms"
"3214","heterozygous"
"3215","starting"
"3216","organism"
"3217","produced"
"3218","partial"
"3219","adult"
"3220","stage"
"3221","exposure"
"3222","disease-causing"
"3223","structure's"
"3224","dimensional"
"3225","acquiring"
"3226","measurement"
"3227","apprising"
"3228","operator"
"3229","dimension"
"3230","structure"
"3231","partially"
"3232","fully"
"3233","multiplied"
"3234","food"
"3235","herbal"
"3236","supplement"
"3237","beverages"
"3238","adhesive"
"3239","biodiesel"
"3240","biofuel"
"3241","asparagine"
"3242","meal"
"3243","feed"
"3244","brown-midrib-3"
"3245","floury-2"
"3246","brown-midrib"
"3247","floury-endosperm"
"3248","pathogenic"
"3249","fungus"
"3250","lignin"
"3251","synthesis"
"3252","inhibiting"
"3253","involved"
"3254","biosynthesis"
"3255","compared"
"3256","non-altered"
"3257","collecting"
"3258","building"
"3259","matrix"
"3260","subset"
"3261","individuals"
"3262","automated"
"3263","throughput"
"3264","presentation"
"3265","acquisition"
"3266","staging"
"3267","coordinates"
"3268","timing"
"3269","movement"
"3270","through"
"3271","diplodia"
"3272","carrot"
"3273","der"
"3274","cinnamyl"
"3275","alcohol"
"3276","dehydrogenase"
"3277","2"
"3278","delta314"
"3279","transposon"
"3280","insertion"
"3281","after"
"3282","740"
"3283","wild-type"
"3284","identifying/selecting"
"3285","sorting"
"3286","robotic"
"3287","pick"
"3288","up"
"3289","identified"
"3290","alternate"
"3291","location"
"3292","interest"
"3293","species"
"3294","suitably"
"3295","programmed"
"3296","computer"
"3297","purity"
"3298","c-type"
"3299","fertility-restoration"
"3300","early"
"3301","structural"
"3302","variations"
"3303","predict"
"3304","expected"
"3305","degree"
"3306","heterosis-related"
"3307","relating"
"3308","nitrogen"
"3309","uptake"
"3310","efficiency"
"3311","administering"
"3312","bacillus"
"3313","thuringiensis"
"3314","insect-resistance"
"3315","improves"
"3316","insecticidal"
"3317","portion"
"3318","protein/amino"
"3319","multidrug"
"3320","resistance-associated"
"3321","phytate"
"3322","en"
"3323","contained"
"3324","intervals"
"3325","meat"
"3326","quantity"
"3327","silage-fed"
"3328","ruminant"
"3329","cattle"
"3330","feeding"
"3331","silage"
"3332","variety"
"3333","container"
"3334","shipping"
"3335","improved"
"3336","consists"
"3337","cross-breeding"
"3338","ccr1"
"3339","delta"
"3340","3318"
"3341","lower"
"3342","lignine"
"3343","introgressing"
"3344","zea"
"3345","mays"
"3346","lacking"
"3347","identifiable"
"3348","amplification"
"3349","filling"
"3350","nicotinamide"
"3351","adenine"
"3352","dinucleotide-dependent"
"3353","identity"
"3354","amino"
"3355","optimization"
"3356","members"
"3357","generation"
"3358","major"
"3359","resisting"
"3360","graminearum"
"3361","nuclear"
"3362","corresponding"
"3363","novel"
"3364","cytokinin"
"3365","stability"
"3366","optical"
"3367","measuring"
"3368","device"
"3369","distance"
"3370","signal"
"3371","camera"
"3372","pixels"
"3373","three-dimensional"
"3374","enveloped"
"3375","surface"
"3376","object"
"3377","be"
"3378","detected"
"3379","oil-associated"
"3380","qtls"
"3381","association"
"3382","informative"
"3383","establish"
"3384","statistical"
"3385","significance"
"3386","resistances"
"3387","yields"
"3388","readable"
"3389","recorded"
"3390","reading"
"3391","genotypic"
"3392","data"
"3393","open"
"3394","supplying"
"3395","nutrients"
"3396","containers"
"3397","varied"
"3398","all"
"3399","delineating"
"3400","window"
"3401","each"
"3402","numerical"
"3403","decision"
"3404","assisted"
"3405","selection"
"3406","fkr"
"3407","assessing"
"3408","existing"
"3409","lin"
"3410","backcrossed"
"3411","query"
"3412","handling"
"3413","positioning"
"3414","orienting"
"3415","preparation"
"3416","sampling"
"3417","purpose"
"3418","transport"
"3419","utilizing"
"3420","handle"
"3421","orient"
"3422","cauliflower"
"3423","artichoke"
"3424","safflower"
"3425","run"
"3426","model"
"3427","brown"
"3428","midrib"
"3429","gt1"
"3430","regrowth"
"3431","high-throughput"
"3432","non-destructive"
"3433","individual"
"3434","indicative"
"3435","chemical"
"3436","impact"
"3437","modifications"
"3438","moving"
"3439","environmental"
"3440","transporter"
"3441","images"
"3442","resulting"
"3443","cassettes"
"3444","express"
"3445","cry3"
"3446","delta-endotoxin"
"3447","toxic"
"3448","coleopteran"
"3449","activity"
"3450","6uq025"
"3451","livestock"
"3452","raw"
"3453","industry"
"3454","ethanol"
"3455","paper"
"3456","textile"
"3457","industries"
"3458","display"
"3459","fijiviruses"
"3460","integrated"
"3461","simple"
"3462","repeat-functional"
"3463","motif"
"3464","function"
"3465","wildlife"
"3466","biological"
"3467","integrating"
"3468","silico-gene"
"3469","annotation"
"3470","western"
"3471","worm"
"3472","european"
"3473","borer"
"3474","adapted"
"3475","elite"
"3476","can"
"3477","components"
"3478","yielding"
"3479","library"
"3480","non-human"
"3481","division"
"3482","reconstitution-originating"
"3483","sdr-o"
"3484","segregating"
"3485","higher"
"3486","than"
"3487","integration"
"3488","technology"
"3489","develop"
"3490","map"
"3491","fungal"
"3492","derived"
"3493","pathogen-tolerant"
"3494","storage"
"3495","quality"
"3496","excess"
"3497","about"
"3498","6"
"3499","percent"
"3500","matter"
"3501","accession"
"3502","ren"
"3503","001"
"3504","itself"
"3505","saline"
"3506","sodic"
"3507","soils"
"3508","sodium"
"3509","accumulation"
"3510","aerial"
"3511","nax"
"3512","ensuring"
"3513","validity"
"3514","correspondence"
"3515","recursively-determined"
"3516","correlation"
"3517","across"
"3518","koshihikari"
"3519","rice"
"3520","subject"
"3521","another"
"3522","back-crossing"
"3523","genotyped"
"3524","repeating"
"3525","fertile"
"3526","contain"
"3527","enol:pyruvyl-3-phospho:shikimic"
"3528","foods"
"3529","parts"
"3530","floridanum"
"3531","extranuclear"
"3532","complex"
"3533","aerenchyma"
"3534","roots"
"3535","responsible"
"3536","raised"
"3537","umc"
"3538","67"
"3539","128"
"3540","1"
"3541","bnlg"
"3542","1046"
"3543","609"
"3544","5"
"3545","acid-elevating"
"3546","amount"
"3547","expressed"
"3548","inheritable"
"3549","dhn"
"3550","chilling"
"3551","efficacy"
"3552","distribution"
"3553","inherited"
"3554","makers"
"3555","predicting"
"3556","mapping"
"3557","techniques"
"3558","original"
"3559","parents"
"3560","groups"
"3561","basis"
"3562","multiple"
"3563","quantitatively"
"3564","soybean"
"3565","soja"
"3566","mycorrhizal"
"3567","responsiveness"
"3568","ability"
"3569","extract"
"3570","phosphorus"
"3571","4sq601"
"3572","4sq602"
"3573","remote"
"3574","sensing"
"3575","relative"
"3576","grey"
"3577","retains"
"3578","good"
"3579","qualities"
"3580","non-resistant"
"3581","chlorotic"
"3582","while"
"3583","preserving"
"3584","agronomically"
"3585","methionine-contg."
"3586","prodn."
"3587","in-bred"
"3588","contg."
"3589","maternal"
"3590","etc."
"3591","give"
"3592","chicken"
"3593","nutritional"
"3594","balance"
"3595","restriction"
"3596","fragment"
"3597","determn."
"3598","diversity"
"3599","fragments"
"3600","numerically"
"3601","defined"
"3602","genotypes"
"3603","defining"
"3604","variants"
"3605","calculating"
"3606","probability"
"3607","occurrence"
"3608","simulating"
"3609","partner"
"3610","predictor"
"3611","estimates"
"3612","correlating"
"3613","measured"
"3614","measure"
"3615","whether"
"3616","targeting"
"3617","experiment"
"3618","updating"
"3619","experiments"
"3620","pooling"
"3621","several"
"3622","polymorphisms"
"3623","predicted"
"3624","effects"
"3625","reference"
"3626","summing"
"3627","gain"
"3628","genome-wide"
"3629","ranking/selecting"
"3630","introduce"
"3631","carrying"
"3632","transcriptional"
"3633","living"
"3634","being"
"3635","real-time"
"3636","filtering"
"3637","values"
"3638","predefined"
"3639","outputting"
"3640","graphical"
"3641","screen"
"3642","relationship"
"3643","multivariate"
"3644","mixed"
"3645","completely"
"3646","absent"
"3647","unrelated"
"3648","combinations"
"3649","correcting"
"3650","recombination"
"3651","probabilities"
"3652","flanking"
"3653","segments"
"3654","optimized"
"3655","estimation"
"3656","estimated"
"3657","operating"
"3658","metabolite"
"3659","unpollinated"
"3660","artificial"
"3661","commercially-important"
"3662","animals"
"3663","current"
"3664","estimating"
"3665","inferred"
"3666","without"
"3667","known"
"3668","approximating"
"3669","stored"
"3670","decisions"
"3671","determined"
"3672","supernatant"
"3673","pericarp"
"3674","hydrogen"
"3675","peroxide"
"3676","enzyme"
"3677","amylases"
"3678","separating"
"3679","other"
"3680","materials"
"3681","coat"
"3682","chip"
"3683","coat-free"
"3684","preparing"
"3685","monocot"
"3686","culture"
"3687","force"
"3688","so"
"3689","extracted"
"3690","include"
"3691","grain`s"
"3692","hue"
"3693","brewing"
"3694","subsets"
"3695","seed/grain"
"3696","areas"
"3697","hard"
"3698","portions"
"3699","assert"
"3700","seed's"
"3701","collected"
"3702","exhibits"
"3703","rapidly"
"3704","effect"
"3705","parameter"
"3706","difference"
"3707","mean"
"3708","median"
"3709","variance"
"3710","properties"
"3711","lettuce"
"3712","lasting"
"3713","pathogen"
"3714","bremia"
"3715","lactucae"
"3716","oligonucleotides"
"3717","g"
"3718","clinical"
"3719","t"
"3720","exhibited"
"3721","plant`s"
"3722","conveyer"
"3723","connected"
"3724","motor"
"3725","circulatorily"
"3726","driving"
"3727","around"
"3728","guide"
"3729","pulling"
"3730","finger"
"3731","coupled"
"3732","wind"
"3733","agricultural"
"3734","irrigated"
"3735","land"
"3736","controller"
"3737","adjusting"
"3738","fluid"
"3739","stream"
"3740","directing"
"3741","shutter"
"3742","vane"
"3743","storing"
"3744","aqueous"
"3745","solution"
"3746","surrounded"
"3747","oils"
"3748","dislodge"
"3749","removal"
"3750","extraction"
"3751","sonicating"
"3752","anon-destructive"
"3753","manner"
"3754","border"
"3755","extracting"
"3756","diverse"
"3757","training"
"3758","retaining"
"3759","oryza"
"3760","releasing"
"3761","contents"
"3762","scutellum"
"3763","embryonic"
"3764","axis"
"3765","printing"
"3766","inkjet"
"3767","printer"
"3768","replaces"
"3769","print"
"3770","mask"
"3771","currently"
"3772","compensating"
"3773","errors"
"3774","dot"
"3775","forming"
"3776","element"
"3777","change"
"3778","relation"
"3779","lateral"
"3780","station"
